,Unnamed: 0,NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,"1011
Entries & Exits",Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
1026,1026,2229.0,HLR,Hall Road,North West,Merseyside,Sefton,UKD5,Merseyside,Merseyrail,,Merseyside,," 27,782 "," 74,301 "," 25,921 "," 128,004 "," 27,782 "," 74,301 "," 25,921 "," 128,004 "," 256,008 "," 269,744 ",  ,0.0,0.0,,,,,,
1027,1027,5173.0,HAI,Halling,South East,Medway,Medway,UKJ4,Kent,Southeastern,,,," 7,436 "," 7,876 "," 6,251 "," 21,563 "," 7,436 "," 7,876 "," 6,251 "," 21,563 "," 43,126 "," 43,684 ",  ,0.0,0.0,,,,,,
1028,1028,7568.0,HWH,Haltwhistle,North East,Northumberland,Tynedale,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,," 9,965 "," 22,602 "," 5,409 "," 37,976 "," 9,965 "," 22,602 "," 5,409 "," 37,976 "," 75,952 "," 74,038 ",  ,0.0,0.0,,,,,,
1029,1029,5037.0,HMT,Ham Street,South East,Kent,Ashford,UKJ4,Kent,Southern,,,," 6,001 "," 13,540 "," 23,886 "," 43,427 "," 6,001 "," 13,540 "," 23,886 "," 43,427 "," 86,854 "," 81,812 ",  ,0.0,0.0,,,,,,
1030,1030,5947.0,HME,Hamble,South East,Hampshire,Eastleigh,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 18,200 "," 11,222 "," 26,222 "," 55,644 "," 18,200 "," 11,222 "," 26,222 "," 55,644 "," 111,288 "," 92,008 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
1031,1031,9726.0,HNC,Hamilton Central,Scotland,South Lanarkshire,South Lanarkshire,UKM3,South Western Scotland,First ScotRail,HAMILTON BR,Strathclyde,," 156,252 "," 141,152 "," 139,187 "," 436,591 "," 156,252 "," 141,152 "," 139,187 "," 436,591 "," 873,182 "," 845,704 "," 3,813 ",0.0,0.0,,,,,,
1032,1032,9727.0,HNW,Hamilton West,Scotland,South Lanarkshire,South Lanarkshire,UKM3,South Western Scotland,First ScotRail,HAMILTON BR,Strathclyde,," 140,019 "," 130,936 "," 152,110 "," 423,065 "," 140,019 "," 130,936 "," 152,110 "," 423,065 "," 846,130 "," 798,816 ",  ,0.0,0.0,,,,,,
1033,1033,8241.0,HMM,Hammerton,Yorkshire And The Humber,North Yorkshire,Harrogate,UKE2,North Yorkshire,Northern Rail,,,," 4,572 "," 4,780 "," 3,280 "," 12,632 "," 4,572 "," 4,780 "," 3,280 "," 12,632 "," 25,264 "," 26,020 ",  ,0.0,0.0,,,,,,
1035,1035,1413.0,HDH,Hampstead Heath,London,Greater London,Camden,UKI1,Inner London,London Overground,,,London Travelcard Area Station," 250,190 "," 364,610 "," 463,173 "," 1,077,973 "," 250,190 "," 364,610 "," 463,173 "," 1,077,973 "," 2,155,946 "," 1,379,996 ",  ,1.0,0.0,Further improvements to Overground service including completition of link between North and East branches  in February 2011 driving continued large increases in demand,http://www.tfl.gov.uk/corporate/projectsandschemes/15397.aspx,,,,
1037,1037,5561.0,HMC,Hampton Court,South East,Surrey,Elmbridge,UKJ2,"Surrey, East & West Sussex",South West Trains,,,London Travelcard Area Station," 247,392 "," 317,653 "," 530,250 "," 1,095,295 "," 247,392 "," 317,653 "," 530,250 "," 1,095,295 "," 2,190,590 "," 2,139,404 ",  ,0.0,0.0,,,,,,
1038,1038,5589.0,HMW,Hampton Wick,London,Greater London,Richmond Upon Thames,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 104,912 "," 119,225 "," 197,698 "," 421,835 "," 104,912 "," 119,225 "," 197,698 "," 421,835 "," 843,670 "," 840,346 ",  ,0.0,0.0,,,,,,
1039,1039,1033.0,HIA,Hampton-In-Arden,West Midlands,West Midlands,Solihull,UKG3,West Midlands,London Midland Trains,,West Midlands,," 14,320 "," 17,711 "," 25,769 "," 57,800 "," 14,320 "," 17,711 "," 25,769 "," 57,800 "," 115,600 "," 97,044 ",  ,1.0,0.0,"Main portion of increase due to improved demand estimation in Centro area (extra 17,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
1041,1041,5940.0,HAM,Hamworthy,South West,Poole,Poole,UKK2,Dorset and Somerset,South West Trains,,,," 28,576 "," 32,747 "," 18,780 "," 80,103 "," 28,576 "," 32,747 "," 18,780 "," 80,103 "," 160,206 "," 156,910 ",  ,0.0,0.0,,,,,,
1043,1043,2767.0,HTH,Handforth,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,," 43,221 "," 42,080 "," 33,105 "," 118,406 "," 43,221 "," 42,080 "," 33,105 "," 118,406 "," 236,812 "," 214,534 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
1044,1044,3191.0,HAN,Hanwell,London,Greater London,Ealing,UKI2,Outer London,First Great Western,,,London Travelcard Area Station," 48,582 "," 52,537 "," 96,805 "," 197,924 "," 48,582 "," 52,537 "," 96,805 "," 197,924 "," 395,848 "," 379,392 ",  ,0.0,0.0,,,,,,
1045,1045,2557.0,HPN,Hapton,North West,Lancashire,Burnley,UKD4,Lancashire,Northern Rail,,,," 7,248 "," 1,658 "," 1,126 "," 10,032 "," 7,248 "," 1,658 "," 1,126 "," 10,032 "," 20,064 "," 20,874 ",  ,0.0,0.0,,,,,,
1046,1046,4458.0,HRL,Harlech,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 20,930 "," 5,680 "," 37,022 "," 63,632 "," 20,930 "," 5,680 "," 37,022 "," 63,632 "," 127,264 "," 127,372 ",  ,0.0,0.0,,,,,,
1047,1047,1521.0,HDN,Harlesden,London,Greater London,Brent,UKI2,Outer London,London Underground,,,London Travelcard Area Station," 72,918 "," 109,690 "," 219,097 "," 401,705 "," 72,918 "," 109,690 "," 219,097 "," 401,705 "," 803,410 "," 616,128 ",  ,1.0,0.0,Ramp-up of demand on London Overground services,,,,,
1048,1048,7374.0,HRD,Harling Road,East,Norfolk,Breckland,UKH1,East Anglia,National Express East Anglia,,,, 745 , 186 ," 1,181 "," 2,112 ", 745 , 186 ," 1,181 "," 2,112 "," 4,224 "," 3,494 ",  ,0.0,0.0,,,,,,
1050,1050,6804.0,HWM,Harlow Mill,East,Essex,Harlow,UKH3,Essex,National Express East Anglia,,,," 26,841 "," 17,974 "," 49,288 "," 94,103 "," 26,841 "," 17,974 "," 49,288 "," 94,103 "," 188,206 "," 170,208 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
1051,1051,6827.0,HWN,Harlow Town,East,Essex,Harlow,UKH3,Essex,National Express East Anglia,,,," 247,886 "," 263,695 "," 287,673 "," 799,254 "," 247,886 "," 263,695 "," 287,673 "," 799,254 "," 1,598,508 "," 1,542,672 ",  ,0.0,0.0,,,,,,
1052,1052,6879.0,HRO,Harold Wood,London,Greater London,Havering,UKI2,Outer London,National Express East Anglia,,,London Travelcard Area Station," 227,612 "," 266,829 "," 795,699 "," 1,290,140 "," 227,612 "," 266,829 "," 795,699 "," 1,290,140 "," 2,580,280 "," 2,552,716 ",  ,0.0,0.0,,,,,,
1053,1053,1543.0,HPD,Harpenden,East,Hertfordshire,St. Albans,UKH2,Bedfordshire and Hertforshire,First Capital Connect,,,," 206,727 "," 479,931 "," 813,232 "," 1,499,890 "," 206,727 "," 479,931 "," 813,232 "," 1,499,890 "," 2,999,780 "," 2,884,834 ", 878 ,0.0,0.0,,,,,,
1054,1054,5140.0,HRM,Harrietsham,South East,Kent,Maidstone,UKJ4,Kent,Southeastern,,,," 7,812 "," 8,702 "," 21,493 "," 38,007 "," 7,812 "," 8,702 "," 21,493 "," 38,007 "," 76,014 "," 73,812 ",  ,0.0,0.0,,,,,,
1055,1055,6012.0,HGY,Harringay,London,Greater London,Haringey,UKI1,Inner London,First Capital Connect,,,London Travelcard Area Station," 91,110 "," 107,365 "," 332,542 "," 531,017 "," 91,110 "," 107,365 "," 332,542 "," 531,017 "," 1,062,034 "," 1,039,098 ",  ,0.0,0.0,,,,,,
1056,1056,7401.0,HRY,Harringay Green Lanes,London,Greater London,Haringey,UKI1,Inner London,London Overground,,,London Travelcard Area Station," 85,716 "," 137,298 "," 158,212 "," 381,226 "," 85,716 "," 137,298 "," 158,212 "," 381,226 "," 762,452 "," 502,600 ",  ,1.0,0.0,Ramp-up of demand on London Overground services,,,,,
1057,1057,2027.0,HRR,Harrington,North West,Cumbria,Allerdale,UKD1,Cumbria,Northern Rail,,,," 6,094 "," 1,995 "," 3,492 "," 11,581 "," 6,094 "," 1,995 "," 3,492 "," 11,581 "," 23,162 "," 22,218 ",  ,0.0,0.0,,,,,,
1058,1058,8213.0,HGT,Harrogate,Yorkshire And The Humber,North Yorkshire,Harrogate,UKE2,North Yorkshire,Northern Rail,,,," 210,091 "," 348,053 "," 127,685 "," 685,829 "," 210,091 "," 348,053 "," 127,685 "," 685,829 "," 1,371,658 "," 1,294,010 ", 294 ,0.0,0.0,,,,,,
1060,1060,598.0,HOH,Harrow-On-The-Hill,London,Greater London,Harrow,UKI2,Outer London,London Underground,,,London Travelcard Area Station," 314,908 "," 332,161 "," 75,125 "," 722,194 "," 314,908 "," 332,161 "," 75,125 "," 722,194 "," 1,444,388 "," 1,309,328 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
1062,1062,4579.0,HBY,Hartlebury,West Midlands,Worcestershire,Wychavon,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,West Midlands,," 2,884 ", 206 ," 7,746 "," 10,836 "," 2,884 ", 206 ," 7,746 "," 10,836 "," 21,672 "," 22,274 ",  ,0.0,0.0,,,,,,
1063,1063,8009.0,HPL,Hartlepool,North East,Hartlepool,Hartlepool,UKC1,Tees Valley and Durham,Northern Rail,,,," 119,157 "," 104,696 "," 38,133 "," 261,986 "," 119,157 "," 104,696 "," 38,133 "," 261,986 "," 523,972 "," 507,998 ", 477 ,0.0,0.0,,,,,,
1064,1064,9246.0,HTW,Hartwood,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 2,720 "," 2,797 "," 2,842 "," 8,359 "," 2,720 "," 2,797 "," 2,842 "," 8,359 "," 16,718 "," 18,826 ",  ,1.0,0.0,Continues downward trend in patronage,,,,,
1065,1065,6902.0,HPQ,Harwich International,East,Essex,Tendring,UKH3,Essex,National Express East Anglia,,,," 18,746 "," 20,180 "," 7,581 "," 46,507 "," 18,746 "," 20,180 "," 7,581 "," 46,507 "," 93,014 "," 103,082 ",  ,0.0,0.0,,,,,,
1066,1066,6905.0,HWC,Harwich Town,East,Essex,Tendring,UKH3,Essex,National Express East Anglia,,,," 13,339 "," 23,391 "," 51,698 "," 88,428 "," 13,339 "," 23,391 "," 51,698 "," 88,428 "," 176,856 "," 175,078 ",  ,0.0,0.0,,,,,,
1067,1067,5633.0,HSL,Haslemere,South East,Surrey,Waverley,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 141,979 "," 270,238 "," 438,078 "," 850,295 "," 141,979 "," 270,238 "," 438,078 "," 850,295 "," 1,700,590 "," 1,691,724 "," 100,472 ",0.0,0.0,,,,,,
1068,1068,5489.0,HSK,Hassocks,South East,West Sussex,Mid Sussex,UKJ2,"Surrey, East & West Sussex",Southern,,,," 80,058 "," 193,073 "," 350,481 "," 623,612 "," 80,058 "," 193,073 "," 350,481 "," 623,612 "," 1,247,224 "," 1,170,806 ",  ,0.0,0.0,,,,,,
1069,1069,5219.0,HGS,Hastings,South East,East Sussex,Hastings,UKJ2,"Surrey, East & West Sussex",Southeastern,,,," 149,482 "," 494,130 "," 363,009 "," 1,006,621 "," 149,482 "," 494,130 "," 363,009 "," 1,006,621 "," 2,013,242 "," 1,932,870 "," 36,798 ",0.0,0.0,,,,,,
1070,1070,1398.0,HTE,Hatch End,London,Greater London,Harrow,UKI2,Outer London,London Overground,,,London Travelcard Area Station," 74,994 "," 201,192 "," 97,583 "," 373,769 "," 74,994 "," 201,192 "," 97,583 "," 373,769 "," 747,538 "," 676,976 ",  ,1.0,0.0,Ramp-up of demand on London Overground services,,,,,
1073,1073,6845.0,HAP,Hatfield Peverel,East,Essex,Braintree,UKH3,Essex,National Express East Anglia,,,," 22,263 "," 26,963 "," 145,416 "," 194,642 "," 22,263 "," 26,963 "," 145,416 "," 194,642 "," 389,284 "," 357,458 ",  ,0.0,0.0,,,,,,
1074,1074,2826.0,HSG,Hathersage,East Midlands,Derbyshire,Derbyshire Dales,UKF1,Derbyshire and Nottinghamshire,Northern Rail,,,," 12,989 "," 14,274 ", 961 ," 28,224 "," 12,989 "," 14,274 ", 961 ," 28,224 "," 56,448 "," 51,202 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
1075,1075,2604.0,HTY,Hattersley,North West,Greater Manchester,Tameside,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 4,097 "," 14,918 "," 5,449 "," 24,464 "," 4,097 "," 14,918 "," 5,449 "," 24,464 "," 48,928 "," 46,422 ",  ,0.0,0.0,,,,,,
1076,1076,4594.0,HTN,Hatton,West Midlands,Warwickshire,Warwick,UKG1,"Herefordshire, Worcestershire and Warwickshire",Chiltern Railways,,West Midlands,," 5,458 "," 2,979 "," 13,532 "," 21,969 "," 5,458 "," 2,979 "," 13,532 "," 21,969 "," 43,938 "," 38,000 ",  ,1.0,0.0,"Main portion of increase due to improved demand estimation in Centro area (extra 4,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
1077,1077,5532.0,HAV,Havant,South East,Hampshire,Havant,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 288,647 "," 427,056 "," 307,044 "," 1,022,747 "," 288,647 "," 427,056 "," 307,044 "," 1,022,747 "," 2,045,494 "," 2,153,160 "," 331,254 ",0.0,0.0,,,,,,
1078,1078,6260.0,HVN,Havenhouse,East Midlands,Lincolnshire,East Lindsey,UKF3,Lincolnshire,East Midlands Trains,,,, 60 , 6 , -   , 66 , 60 , 6 , -   , 66 , 132 , 100 ,  ,0.0,1.0,Very small absolute number of entries and exits,,,,,
1079,1079,4079.0,HVF,Haverfordwest,Wales - Cymru,Pembrokeshire - Sir Benfro,Pembrokeshire - Sir Benfro,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 37,067 "," 34,730 "," 1,051 "," 72,848 "," 37,067 "," 34,730 "," 1,051 "," 72,848 "," 145,696 "," 143,838 ",  ,0.0,0.0,,,,,,
1080,1080,2428.0,HWD,Hawarden,Wales - Cymru,Flintshire - Sir Y Fflint,Flintshire - Sir Y Fflint,UKL2,East Wales,Arriva Trains Wales,,,," 15,992 "," 1,790 "," 1,788 "," 19,570 "," 15,992 "," 1,790 "," 1,788 "," 19,570 "," 39,140 "," 37,896 ",  ,0.0,0.0,,,,,,
1081,1081,2146.0,HWB,Hawarden Bridge,Wales - Cymru,Flintshire - Sir Y Fflint,Flintshire - Sir Y Fflint,UKL2,East Wales,Arriva Trains Wales,,,," 1,274 ", 713 , 249 ," 2,236 "," 1,274 ", 713 , 249 ," 2,236 "," 4,472 "," 4,540 ",  ,0.0,0.0,,,,,,
1082,1082,9634.0,HKH,Hawkhead,Scotland,Renfrewshire,Renfrewshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 25,208 "," 23,307 "," 24,215 "," 72,730 "," 25,208 "," 23,307 "," 24,215 "," 72,730 "," 145,460 "," 139,666 ",  ,0.0,0.0,,,,,,
1083,1083,7569.0,HDB,Haydon Bridge,North East,Northumberland,Tynedale,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,," 6,385 "," 6,914 "," 2,237 "," 15,536 "," 6,385 "," 6,914 "," 2,237 "," 15,536 "," 31,072 "," 30,178 ",  ,0.0,0.0,,,,,,
1084,1084,5289.0,HYR,Haydons Road,London,Greater London,Merton,UKI2,Outer London,First Capital Connect,,,London Travelcard Area Station," 44,399 "," 32,415 "," 151,389 "," 228,203 "," 44,399 "," 32,415 "," 151,389 "," 228,203 "," 456,406 "," 421,220 ",  ,0.0,0.0,,,,,,
1086,1086,5050.0,HYS,Hayes (Kent),London,Greater London,Bromley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 100,052 "," 107,802 "," 363,475 "," 571,329 "," 100,052 "," 107,802 "," 363,475 "," 571,329 "," 1,142,658 "," 1,104,148 ",  ,0.0,0.0,,,,,,
1087,1087,3513.0,HYL,Hayle,South West,Cornwall And Isles Of Scilly,Penwith,UKK3,Cornwall and Isles of Scilly,First Great Western,,,," 4,000 "," 34,113 "," 6,760 "," 44,873 "," 4,000 "," 34,113 "," 6,760 "," 44,873 "," 89,746 "," 85,508 ",  ,0.0,0.0,,,,,,
1088,1088,9419.0,HYM,Haymarket,Scotland,Edinburgh City Of,Edinburgh City Of,UKM2,Eastern Scotland,First ScotRail,EDINBURGH BR,,," 404,323 "," 449,444 "," 182,097 "," 1,035,864 "," 404,323 "," 449,444 "," 182,097 "," 1,035,864 "," 2,071,728 "," 1,942,000 "," 537,046 ",0.0,0.0,,,,,,
1089,1089,5490.0,HHE,Haywards Heath,South East,West Sussex,Mid Sussex,UKJ2,"Surrey, East & West Sussex",Southern,,,," 295,584 "," 701,087 "," 1,139,077 "," 2,135,748 "," 295,584 "," 701,087 "," 1,139,077 "," 2,135,748 "," 4,271,496 "," 4,081,456 "," 578,115 ",0.0,0.0,,,,,,
1090,1090,2768.0,HAZ,Hazel Grove,North West,Greater Manchester,Stockport,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 56,595 "," 125,101 "," 123,421 "," 305,117 "," 56,595 "," 125,101 "," 123,421 "," 305,117 "," 610,234 "," 574,162 "," 3,347 ",0.0,0.0,,,,,,
1091,1091,5220.0,HCN,Headcorn,South East,Kent,Maidstone,UKJ4,Kent,Southeastern,,,," 38,804 "," 97,138 "," 162,776 "," 298,718 "," 38,804 "," 97,138 "," 162,776 "," 298,718 "," 597,436 "," 588,464 ",  ,0.0,0.0,,,,,,
1092,1092,8498.0,HDY,Headingley,Yorkshire And The Humber,West Yorkshire,Leeds,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 61,497 "," 52,705 "," 82,734 "," 196,936 "," 61,497 "," 52,705 "," 82,734 "," 196,936 "," 393,872 "," 364,434 ",  ,0.0,0.0,,,,,,
1093,1093,1434.0,HDL,Headstone Lane,London,Greater London,Harrow,UKI2,Outer London,London Overground,,,London Travelcard Area Station," 38,625 "," 75,854 "," 100,248 "," 214,727 "," 38,625 "," 75,854 "," 100,248 "," 214,727 "," 429,454 "," 362,528 ",  ,1.0,0.0,Ramp-up of demand on London Overground services,,,,,
1094,1094,2860.0,HDG,Heald Green,North West,Greater Manchester,Stockport,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 44,461 "," 94,141 "," 70,062 "," 208,664 "," 44,461 "," 94,141 "," 70,062 "," 208,664 "," 417,328 "," 400,728 "," 4,266 ",0.0,0.0,,,,,,
1095,1095,6283.0,HLI,Healing,Yorkshire And The Humber,North East Lincolnshire,North East Lincolnshire,UKE1,East Riding and North Linconshire,Northern Rail,,,," 4,817 ", 626 , 284 ," 5,727 "," 4,817 ", 626 , 284 ," 5,727 "," 11,454 "," 10,204 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
1096,1096,3845.0,HHL,Heath High Level,Wales - Cymru,Cardiff - Caerdydd,Cardiff - Caerdydd,UKL2,East Wales,Arriva Trains Wales,,,," 108,188 "," 3,952 "," 57,885 "," 170,025 "," 108,188 "," 3,952 "," 57,885 "," 170,025 "," 340,050 "," 320,666 ",  ,0.0,0.0,,,,,,
1097,1097,3908.0,HLL,Heath Low Level,Wales - Cymru,Cardiff - Caerdydd,Cardiff - Caerdydd,UKL2,East Wales,Arriva Trains Wales,,,," 14,691 ", 491 ," 3,670 "," 18,852 "," 14,691 ", 491 ," 3,670 "," 18,852 "," 37,704 "," 36,150 ",  ,0.0,0.0,,,,,,
1098,1098,2861.0,HTC,Heaton Chapel,North West,Greater Manchester,Stockport,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 66,179 "," 133,077 "," 110,778 "," 310,034 "," 66,179 "," 133,077 "," 110,778 "," 310,034 "," 620,068 "," 569,852 ",  ,0.0,0.0,,,,,,
1099,1099,8524.0,HBD,Hebden Bridge,Yorkshire And The Humber,West Yorkshire,Calderdale,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 106,386 "," 161,799 "," 112,704 "," 380,889 "," 106,386 "," 161,799 "," 112,704 "," 380,889 "," 761,778 "," 713,926 "," 23,988 ",0.0,0.0,,,,,,
1100,1100,6220.0,HEC,Heckington,East Midlands,Lincolnshire,North Kesteven,UKF3,Lincolnshire,East Midlands Trains,,,," 17,146 "," 8,462 "," 6,733 "," 32,341 "," 17,146 "," 8,462 "," 6,733 "," 32,341 "," 64,682 "," 61,234 ",  ,0.0,0.0,,,,,,
1101,1101,5893.0,HDE,Hedge End,South East,Hampshire,Eastleigh,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 58,370 "," 63,270 "," 114,325 "," 235,965 "," 58,370 "," 63,270 "," 114,325 "," 235,965 "," 471,930 "," 473,888 ",  ,0.0,0.0,,,,,,
1102,1102,1148.0,HNF,Hednesford,West Midlands,Staffordshire,Cannock Chase,UKG2,Shropshire and Staffordshire,London Midland Trains,,West Midlands,," 22,831 "," 45,707 "," 20,581 "," 89,119 "," 22,831 "," 45,707 "," 20,581 "," 89,119 "," 178,238 "," 150,532 ",  ,1.0,0.0,"Main portion of increase due to improved demand estimation in Centro area (extra 16,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
1103,1103,7887.0,HEI,Heighington,North East,Durham,Sedgefield,UKC1,Tees Valley and Durham,Northern Rail,,,," 4,344 ", 356 ," 1,029 "," 5,729 "," 4,344 ", 356 ," 1,029 "," 5,729 "," 11,458 "," 9,472 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
1104,1104,9981.0,HLC,Helensburgh Central,Scotland,Argyll And Bute,Argyll And Bute,UKM4,Highlands and Islands,First ScotRail,HELENSBURGH BR,,," 144,545 "," 161,677 "," 299,094 "," 605,316 "," 144,545 "," 161,677 "," 299,094 "," 605,316 "," 1,210,632 "," 1,179,284 ", 37 ,0.0,0.0,,,,,,
1105,1105,9982.0,HLU,Helensburgh Upper,Scotland,Argyll And Bute,Argyll And Bute,UKM4,Highlands and Islands,First ScotRail,HELENSBURGH BR,,," 2,895 "," 1,658 "," 2,549 "," 7,102 "," 2,895 "," 1,658 "," 2,549 "," 7,102 "," 14,204 "," 23,466 ",  ,1.0,0.0,"Large decrease is driven primarily by drop in demand to Glasgow Queen Street (the main flow from Helensborough Upper), reflecting same share of a smaller pot of Helensborough BR to Glasgow demand.",,,,,
1106,1106,2656.0,HLD,Hellifield,Yorkshire And The Humber,North Yorkshire,Craven,UKE2,North Yorkshire,Northern Rail,,,," 12,307 "," 1,029 ", 312 ," 13,648 "," 12,307 "," 1,029 ", 312 ," 13,648 "," 27,296 "," 25,390 ", 112 ,0.0,0.0,,,,,,
1107,1107,8647.0,HMS,Helmsdale,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 2,090 ", 603 , 350 ," 3,043 "," 2,090 ", 603 , 350 ," 3,043 "," 6,086 "," 5,656 ",  ,0.0,0.0,,,,,,
1108,1108,2149.0,HSB,Helsby,North West,Cheshire,Vale Royal,UKD2,Cheshire,Arriva Trains Wales,,,," 18,004 "," 13,972 "," 11,333 "," 43,309 "," 18,004 "," 13,972 "," 11,333 "," 43,309 "," 86,618 "," 79,790 "," 4,765 ",0.0,0.0,,,,,,
1109,1109,1391.0,HML,Hemel Hempstead,East,Hertfordshire,Dacorum,UKH2,Bedfordshire and Hertforshire,London Midland Trains,,,," 240,914 "," 366,417 "," 288,210 "," 895,541 "," 240,914 "," 366,417 "," 288,210 "," 895,541 "," 1,791,082 "," 1,672,732 "," 30,170 ",0.0,0.0,,,,,,
1110,1110,1522.0,HEN,Hendon,London,Greater London,Barnet,UKI2,Outer London,First Capital Connect,,,London Travelcard Area Station," 84,202 "," 89,482 "," 281,205 "," 454,889 "," 84,202 "," 89,482 "," 281,205 "," 454,889 "," 909,778 "," 838,144 ",  ,0.0,0.0,,,,,,
1111,1111,4028.0,HNG,Hengoed,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 36,170 "," 4,103 "," 23,915 "," 64,188 "," 36,170 "," 4,103 "," 23,915 "," 64,188 "," 128,376 "," 117,492 ",  ,0.0,0.0,,,,,,
1112,1112,4524.0,HNL,Henley-In-Arden,West Midlands,Warwickshire,Stratford-On-Avon,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,West Midlands,," 16,660 "," 12,915 "," 24,901 "," 54,476 "," 16,660 "," 12,915 "," 24,901 "," 54,476 "," 108,952 "," 94,506 ",  ,1.0,0.0,"Partially due to improved demand estimation in Centro area (extra 3,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
1113,1113,3146.0,HOT,Henley-On-Thames,South East,Oxfordshire,South Oxfordshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,," 68,372 "," 148,958 "," 129,241 "," 346,571 "," 68,372 "," 148,958 "," 129,241 "," 346,571 "," 693,142 "," 668,264 ",  ,0.0,0.0,,,,,,
1114,1114,8129.0,HEL,Hensall,Yorkshire And The Humber,North Yorkshire,Selby,UKE2,North Yorkshire,Northern Rail,,,, 92 , -   , -   , 92 , 92 , -   , -   , 92 , 184 , 254 ,  ,0.0,1.0,,,,,,
1115,1115,3607.0,HFD,Hereford,West Midlands,Herefordshire County Of,Herefordshire County Of,UKG1,"Herefordshire, Worcestershire and Warwickshire",Arriva Trains Wales,,West Midlands,," 119,215 "," 266,626 "," 155,154 "," 540,995 "," 119,215 "," 266,626 "," 155,154 "," 540,995 "," 1,081,990 "," 1,017,114 "," 46,980 ",0.0,0.0,,,,,,
1116,1116,5174.0,HNB,Herne Bay,South East,Kent,Canterbury,UKJ4,Kent,Southeastern,,,," 46,466 "," 108,743 "," 242,201 "," 397,410 "," 46,466 "," 108,743 "," 242,201 "," 397,410 "," 794,820 "," 778,582 ",  ,0.0,0.0,,,,,,
1117,1117,5066.0,HNH,Herne Hill,London,Greater London,Lambeth,UKI1,Inner London,Southeastern,,,London Travelcard Area Station," 284,541 "," 312,194 "," 793,247 "," 1,389,982 "," 284,541 "," 312,194 "," 793,247 "," 1,389,982 "," 2,779,964 "," 2,629,368 "," 1,207,336 ",0.0,0.0,,,,,,
1118,1118,5590.0,HER,Hersham,South East,Surrey,Elmbridge,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 92,312 "," 72,641 "," 179,306 "," 344,259 "," 92,312 "," 72,641 "," 179,306 "," 344,259 "," 688,518 "," 665,096 ",  ,0.0,0.0,,,,,,
1119,1119,6818.0,HFE,Hertford East,East,Hertfordshire,East Hertfordshire,UKH2,Bedfordshire and Hertforshire,National Express East Anglia,HERTFORD BR,,," 79,886 "," 89,215 "," 164,174 "," 333,275 "," 79,886 "," 89,215 "," 164,174 "," 333,275 "," 666,550 "," 718,590 ",  ,0.0,0.0,,,,,,
